m,TagName,
"2008-07-01 00:00:00","c#","3"
"2008-08-01 00:00:00","assembly","8"
"2008-08-01 00:00:00","c","82"
"2008-08-01 00:00:00","c#","503"
"2008-08-01 00:00:00","c++","164"
"2008-08-01 00:00:00","delphi","13"
"2008-08-01 00:00:00","java","221"
"2008-08-01 00:00:00","javascript","160"
"2008-08-01 00:00:00","perl","28"
"2008-08-01 00:00:00","php","157"
"2008-08-01 00:00:00","python","119"
"2008-08-01 00:00:00","ruby","68"
"2008-09-01 00:00:00","assembly","28"
"2008-09-01 00:00:00","c","320"
"2008-09-01 00:00:00","c#","1640"
"2008-09-01 00:00:00","c++","753"
"2008-09-01 00:00:00","delphi","104"
"2008-09-01 00:00:00","java","1123"
"2008-09-01 00:00:00","javascript","633"
"2008-09-01 00:00:00","perl","130"
"2008-09-01 00:00:00","php","474"
"2008-09-01 00:00:00","python","535"
"2008-09-01 00:00:00","r","6"
"2008-09-01 00:00:00","ruby","286"
"2008-10-01 00:00:00","assembly","16"
"2008-10-01 00:00:00","c","303"
"2008-10-01 00:00:00","c#","1985"
"2008-10-01 00:00:00","c++","805"
"2008-10-01 00:00:00","delphi","112"
"2008-10-01 00:00:00","java","1146"
"2008-10-01 00:00:00","javascript","721"
"2008-10-01 00:00:00","perl","128"
"2008-10-01 00:00:00","php","604"
"2008-10-01 00:00:00","python","505"
"2008-10-01 00:00:00","ruby","246"
"2008-11-01 00:00:00","assembly","16"
"2008-11-01 00:00:00","c","258"
"2008-11-01 00:00:00","c#","1729"
"2008-11-01 00:00:00","c++","733"
"2008-11-01 00:00:00","delphi","139"
"2008-11-01 00:00:00","java","954"
"2008-11-01 00:00:00","javascript","581"
"2008-11-01 00:00:00","perl","97"
"2008-11-01 00:00:00","php","497"
"2008-11-01 00:00:00","python","447"
"2008-11-01 00:00:00","r","1"
"2008-11-01 00:00:00","ruby","154"
"2008-12-01 00:00:00","assembly","17"
"2008-12-01 00:00:00","c","188"
"2008-12-01 00:00:00","c#","1594"
"2008-12-01 00:00:00","c++","630"
"2008-12-01 00:00:00","delphi","133"
"2008-12-01 00:00:00","java","825"
"2008-12-01 00:00:00","javascript","624"
"2008-12-01 00:00:00","perl","133"
"2008-12-01 00:00:00","php","473"
"2008-12-01 00:00:00","python","437"
"2008-12-01 00:00:00","r","1"
"2008-12-01 00:00:00","ruby","159"
"2009-01-01 00:00:00","assembly","22"
"2009-01-01 00:00:00","c","317"
"2009-01-01 00:00:00","c#","2373"
"2009-01-01 00:00:00","c++","846"
"2009-01-01 00:00:00","delphi","164"
"2009-01-01 00:00:00","java","1144"
"2009-01-01 00:00:00","javascript","787"
"2009-01-01 00:00:00","perl","146"
"2009-01-01 00:00:00","php","627"
"2009-01-01 00:00:00","python","631"
"2009-01-01 00:00:00","r","8"
"2009-01-01 00:00:00","ruby","205"
"2009-01-01 00:00:00","swift","1"
"2009-02-01 00:00:00","assembly","36"
"2009-02-01 00:00:00","c","331"
"2009-02-01 00:00:00","c#","2595"
"2009-02-01 00:00:00","c++","841"
"2009-02-01 00:00:00","delphi","167"
"2009-02-01 00:00:00","java","1202"
"2009-02-01 00:00:00","javascript","944"
"2009-02-01 00:00:00","perl","163"
"2009-02-01 00:00:00","php","753"
"2009-02-01 00:00:00","python","630"
"2009-02-01 00:00:00","r","8"
"2009-02-01 00:00:00","ruby","286"
"2009-02-01 00:00:00","swift","1"
"2009-03-01 00:00:00","assembly","24"
"2009-03-01 00:00:00","c","429"
"2009-03-01 00:00:00","c#","3156"
"2009-03-01 00:00:00","c++","1043"
"2009-03-01 00:00:00","delphi","161"
"2009-03-01 00:00:00","java","1426"
"2009-03-01 00:00:00","javascript","1005"
"2009-03-01 00:00:00","perl","136"
"2009-03-01 00:00:00","php","893"
"2009-03-01 00:00:00","python","764"
"2009-03-01 00:00:00","r","4"
"2009-03-01 00:00:00","ruby","329"
"2009-03-01 00:00:00","swift","1"
"2009-04-01 00:00:00","assembly","50"
"2009-04-01 00:00:00","c","454"
"2009-04-01 00:00:00","c#","3303"
"2009-04-01 00:00:00","c++","1015"
"2009-04-01 00:00:00","delphi","185"
"2009-04-01 00:00:00","java","1527"
"2009-04-01 00:00:00","javascript","1045"
"2009-04-01 00:00:00","perl","161"
"2009-04-01 00:00:00","php","953"
"2009-04-01 00:00:00","python","770"
"2009-04-01 00:00:00","r","12"
"2009-04-01 00:00:00","ruby","356"
"2009-05-01 00:00:00","assembly","46"
"2009-05-01 00:00:00","c","480"
"2009-05-01 00:00:00","c#","3547"
"2009-05-01 00:00:00","c++","1212"
"2009-05-01 00:00:00","delphi","202"
"2009-05-01 00:00:00","java","1813"
"2009-05-01 00:00:00","javascript","1429"
"2009-05-01 00:00:00","perl","196"
"2009-05-01 00:00:00","php","1166"
"2009-05-01 00:00:00","python","995"
"2009-05-01 00:00:00","r","2"
"2009-05-01 00:00:00","ruby","400"
"2009-05-01 00:00:00","swift","2"
"2009-06-01 00:00:00","assembly","48"
"2009-06-01 00:00:00","c","499"
"2009-06-01 00:00:00","c#","3876"
"2009-06-01 00:00:00","c++","1251"
"2009-06-01 00:00:00","delphi","221"
"2009-06-01 00:00:00","java","2110"
"2009-06-01 00:00:00","javascript","1548"
"2009-06-01 00:00:00","perl","246"
"2009-06-01 00:00:00","php","1569"
"2009-06-01 00:00:00","python","1041"
"2009-06-01 00:00:00","r","5"
"2009-06-01 00:00:00","ruby","431"
"2009-07-01 00:00:00","assembly","32"
"2009-07-01 00:00:00","c","537"
"2009-07-01 00:00:00","c#","4402"
"2009-07-01 00:00:00","c++","1464"
"2009-07-01 00:00:00","delphi","269"
"2009-07-01 00:00:00","java","2251"
"2009-07-01 00:00:00","javascript","1753"
"2009-07-01 00:00:00","perl","256"
"2009-07-01 00:00:00","php","2004"
"2009-07-01 00:00:00","python","1156"
"2009-07-01 00:00:00","r","49"
"2009-07-01 00:00:00","ruby","499"
"2009-08-01 00:00:00","assembly","48"
"2009-08-01 00:00:00","c","529"
"2009-08-01 00:00:00","c#","4443"
"2009-08-01 00:00:00","c++","1397"
"2009-08-01 00:00:00","delphi","246"
"2009-08-01 00:00:00","java","2183"
"2009-08-01 00:00:00","javascript","1856"
"2009-08-01 00:00:00","perl","248"
"2009-08-01 00:00:00","php","2169"
"2009-08-01 00:00:00","python","1131"
"2009-08-01 00:00:00","r","47"
"2009-08-01 00:00:00","ruby","484"
"2009-08-01 00:00:00","swift","3"
"2009-09-01 00:00:00","assembly","62"
"2009-09-01 00:00:00","c","572"
"2009-09-01 00:00:00","c#","4347"
"2009-09-01 00:00:00","c++","1461"
"2009-09-01 00:00:00","delphi","251"
"2009-09-01 00:00:00","java","2256"
"2009-09-01 00:00:00","javascript","1756"
"2009-09-01 00:00:00","perl","247"
"2009-09-01 00:00:00","php","2244"
"2009-09-01 00:00:00","python","1169"
"2009-09-01 00:00:00","r","138"
"2009-09-01 00:00:00","ruby","477"
"2009-09-01 00:00:00","swift","3"
"2009-10-01 00:00:00","assembly","73"
"2009-10-01 00:00:00","c","773"
"2009-10-01 00:00:00","c#","4721"
"2009-10-01 00:00:00","c++","1683"
"2009-10-01 00:00:00","delphi","254"
"2009-10-01 00:00:00","java","2500"
"2009-10-01 00:00:00","javascript","2046"
"2009-10-01 00:00:00","perl","282"
"2009-10-01 00:00:00","php","2337"
"2009-10-01 00:00:00","python","1417"
"2009-10-01 00:00:00","r","73"
"2009-10-01 00:00:00","ruby","492"
"2009-10-01 00:00:00","swift","1"
"2009-11-01 00:00:00","assembly","82"
"2009-11-01 00:00:00","c","958"
"2009-11-01 00:00:00","c#","4675"
"2009-11-01 00:00:00","c++","1745"
"2009-11-01 00:00:00","delphi","274"
"2009-11-01 00:00:00","go","65"
"2009-11-01 00:00:00","java","2755"
"2009-11-01 00:00:00","javascript","2233"
"2009-11-01 00:00:00","perl","322"
"2009-11-01 00:00:00","php","2669"
"2009-11-01 00:00:00","python","1550"
"2009-11-01 00:00:00","r","93"
"2009-11-01 00:00:00","ruby","654"
"2009-11-01 00:00:00","swift","3"
"2009-12-01 00:00:00","assembly","62"
"2009-12-01 00:00:00","c","848"
"2009-12-01 00:00:00","c#","4482"
"2009-12-01 00:00:00","c++","1651"
"2009-12-01 00:00:00","delphi","281"
"2009-12-01 00:00:00","go","11"
"2009-12-01 00:00:00","java","2680"
"2009-12-01 00:00:00","javascript","2304"
"2009-12-01 00:00:00","perl","261"
"2009-12-01 00:00:00","php","2805"
"2009-12-01 00:00:00","python","1585"
"2009-12-01 00:00:00","r","80"
"2009-12-01 00:00:00","ruby","570"
"2009-12-01 00:00:00","swift","1"
"2010-01-01 00:00:00","assembly","100"
"2010-01-01 00:00:00","c","978"
"2010-01-01 00:00:00","c#","5112"
"2010-01-01 00:00:00","c++","1994"
"2010-01-01 00:00:00","delphi","302"
"2010-01-01 00:00:00","go","15"
"2010-01-01 00:00:00","java","3720"
"2010-01-01 00:00:00","javascript","2624"
"2010-01-01 00:00:00","perl","300"
"2010-01-01 00:00:00","php","3409"
"2010-01-01 00:00:00","python","1935"
"2010-01-01 00:00:00","r","94"
"2010-01-01 00:00:00","ruby","682"
"2010-02-01 00:00:00","assembly","69"
"2010-02-01 00:00:00","c","1034"
"2010-02-01 00:00:00","c#","5091"
"2010-02-01 00:00:00","c++","2276"
"2010-02-01 00:00:00","delphi","283"
"2010-02-01 00:00:00","go","7"
"2010-02-01 00:00:00","java","3573"
"2010-02-01 00:00:00","javascript","2638"
"2010-02-01 00:00:00","perl","347"
"2010-02-01 00:00:00","php","3143"
"2010-02-01 00:00:00","python","1861"
"2010-02-01 00:00:00","r","122"
"2010-02-01 00:00:00","ruby","688"
"2010-02-01 00:00:00","swift","2"
"2010-03-01 00:00:00","assembly","123"
"2010-03-01 00:00:00","c","1113"
"2010-03-01 00:00:00","c#","6023"
"2010-03-01 00:00:00","c++","2429"
"2010-03-01 00:00:00","delphi","317"
"2010-03-01 00:00:00","go","8"
"2010-03-01 00:00:00","java","4438"
"2010-03-01 00:00:00","javascript","2987"
"2010-03-01 00:00:00","perl","390"
"2010-03-01 00:00:00","php","3714"
"2010-03-01 00:00:00","python","2070"
"2010-03-01 00:00:00","r","139"
"2010-03-01 00:00:00","ruby","692"
"2010-03-01 00:00:00","swift","1"
"2010-04-01 00:00:00","assembly","124"
"2010-04-01 00:00:00","c","1180"
"2010-04-01 00:00:00","c#","5771"
"2010-04-01 00:00:00","c++","2487"
"2010-04-01 00:00:00","delphi","270"
"2010-04-01 00:00:00","go","10"
"2010-04-01 00:00:00","java","3870"
"2010-04-01 00:00:00","javascript","3009"
"2010-04-01 00:00:00","perl","363"
"2010-04-01 00:00:00","php","3622"
"2010-04-01 00:00:00","python","1806"
"2010-04-01 00:00:00","r","160"
"2010-04-01 00:00:00","ruby","752"
"2010-04-01 00:00:00","swift","2"
"2010-05-01 00:00:00","assembly","108"
"2010-05-01 00:00:00","c","1178"
"2010-05-01 00:00:00","c#","5923"
"2010-05-01 00:00:00","c++","2414"
"2010-05-01 00:00:00","delphi","280"
"2010-05-01 00:00:00","go","17"
"2010-05-01 00:00:00","java","4161"
"2010-05-01 00:00:00","javascript","3230"
"2010-05-01 00:00:00","perl","286"
"2010-05-01 00:00:00","php","3955"
"2010-05-01 00:00:00","python","2008"
"2010-05-01 00:00:00","r","139"
"2010-05-01 00:00:00","ruby","775"
"2010-05-01 00:00:00","swift","1"
"2010-06-01 00:00:00","assembly","90"
"2010-06-01 00:00:00","c","1153"
"2010-06-01 00:00:00","c#","6135"
"2010-06-01 00:00:00","c++","2822"
"2010-06-01 00:00:00","delphi","329"
"2010-06-01 00:00:00","go","15"
"2010-06-01 00:00:00","java","4274"
"2010-06-01 00:00:00","javascript","3478"
"2010-06-01 00:00:00","perl","409"
"2010-06-01 00:00:00","php","4066"
"2010-06-01 00:00:00","python","2202"
"2010-06-01 00:00:00","r","176"
"2010-06-01 00:00:00","ruby","850"
"2010-06-01 00:00:00","swift","3"
"2010-07-01 00:00:00","assembly","96"
"2010-07-01 00:00:00","c","1284"
"2010-07-01 00:00:00","c#","6675"
"2010-07-01 00:00:00","c++","2675"
"2010-07-01 00:00:00","delphi","333"
"2010-07-01 00:00:00","go","8"
"2010-07-01 00:00:00","java","4501"
"2010-07-01 00:00:00","javascript","3878"
"2010-07-01 00:00:00","perl","435"
"2010-07-01 00:00:00","php","4572"
"2010-07-01 00:00:00","python","2581"
"2010-07-01 00:00:00","r","233"
"2010-07-01 00:00:00","ruby","910"
"2010-07-01 00:00:00","swift","1"
"2010-08-01 00:00:00","assembly","86"
"2010-08-01 00:00:00","c","1364"
"2010-08-01 00:00:00","c#","6954"
"2010-08-01 00:00:00","c++","2626"
"2010-08-01 00:00:00","delphi","353"
"2010-08-01 00:00:00","go","13"
"2010-08-01 00:00:00","java","4695"
"2010-08-01 00:00:00","javascript","3999"
"2010-08-01 00:00:00","perl","545"
"2010-08-01 00:00:00","php","5098"
"2010-08-01 00:00:00","python","2489"
"2010-08-01 00:00:00","r","283"
"2010-08-01 00:00:00","ruby","991"
"2010-08-01 00:00:00","swift","2"
"2010-09-01 00:00:00","assembly","117"
"2010-09-01 00:00:00","c","1371"
"2010-09-01 00:00:00","c#","6407"
"2010-09-01 00:00:00","c++","2726"
"2010-09-01 00:00:00","delphi","319"
"2010-09-01 00:00:00","go","9"
"2010-09-01 00:00:00","java","4700"
"2010-09-01 00:00:00","javascript","3997"
"2010-09-01 00:00:00","perl","460"
"2010-09-01 00:00:00","php","4667"
"2010-09-01 00:00:00","python","2246"
"2010-09-01 00:00:00","r","236"
"2010-09-01 00:00:00","ruby","935"
"2010-09-01 00:00:00","swift","2"
"2010-10-01 00:00:00","assembly","123"
"2010-10-01 00:00:00","c","1438"
"2010-10-01 00:00:00","c#","6723"
"2010-10-01 00:00:00","c++","2928"
"2010-10-01 00:00:00","delphi","361"
"2010-10-01 00:00:00","go","13"
"2010-10-01 00:00:00","java","5011"
"2010-10-01 00:00:00","javascript","4103"
"2010-10-01 00:00:00","perl","497"
"2010-10-01 00:00:00","php","4480"
"2010-10-01 00:00:00","python","2669"
"2010-10-01 00:00:00","r","214"
"2010-10-01 00:00:00","ruby","924"
"2010-10-01 00:00:00","swift","1"
"2010-11-01 00:00:00","assembly","164"
"2010-11-01 00:00:00","c","1675"
"2010-11-01 00:00:00","c#","7307"
"2010-11-01 00:00:00","c++","3363"
"2010-11-01 00:00:00","delphi","389"
"2010-11-01 00:00:00","go","16"
"2010-11-01 00:00:00","java","5580"
"2010-11-01 00:00:00","javascript","4541"
"2010-11-01 00:00:00","perl","464"
"2010-11-01 00:00:00","php","5076"
"2010-11-01 00:00:00","python","2598"
"2010-11-01 00:00:00","r","241"
"2010-11-01 00:00:00","ruby","926"
"2010-11-01 00:00:00","swift","1"
"2010-12-01 00:00:00","assembly","125"
"2010-12-01 00:00:00","c","1466"
"2010-12-01 00:00:00","c#","7093"
"2010-12-01 00:00:00","c++","3128"
"2010-12-01 00:00:00","delphi","321"
"2010-12-01 00:00:00","go","18"
"2010-12-01 00:00:00","java","5662"
